Round,0,1,2,3,4,5,6,7,8,9,test,A
0.0,39.728668212890625,38.407012939453125,39.13031005859375,39.128536224365234,39.98859405517578,38.86174011230469,40.228965759277344,39.1920051574707,40.0739631652832,38.909671783447266,35.901371002197266,39.05007622458718
1.0,16.06087875366211,13.607748985290527,19.25346565246582,17.90317726135254,16.533939361572266,17.355493545532227,18.107540130615234,15.239501953125,17.39542579650879,16.547393798828125,19.3614444732666,17.03327361020175
2.0,15.352004051208496,11.86418342590332,18.11794090270996,18.381027221679688,16.151073455810547,15.428897857666016,17.165252685546875,14.09881591796875,16.20458984375,15.869908332824707,18.024402618408203,16.059826937588777
3.0,15.449126243591309,10.7500581741333,17.292247772216797,18.926132202148438,15.885466575622559,14.261028289794922,16.472286224365234,13.327432632446289,15.522220611572266,15.949094772338867,16.93238067626953,15.52431583404541
4.0,12.88470458984375,12.430328369140625,16.57465934753418,14.089860916137695,14.013324737548828,16.127933502197266,15.97805118560791,13.155097007751465,14.58036994934082,14.241943359375,20.155170440673828,14.930131218650125
5.0,15.303152084350586,10.045132637023926,16.649839401245117,18.657939910888672,15.078169822692871,13.327017784118652,15.87037467956543,12.780628204345703,14.838556289672852,15.836084365844727,16.432720184326172,14.983601396734064
6.0,15.395978927612305,9.967645645141602,16.590129852294922,19.227346420288086,15.068516731262207,13.112500190734863,15.996580123901367,12.791913032531738,14.82377815246582,15.975799560546875,16.252288818359375,15.018407041376287
7.0,14.958255767822266,9.691461563110352,16.2181396484375,18.60915184020996,14.760322570800781,12.954937934875488,15.798869132995605,12.510917663574219,14.629532814025879,15.721068382263184,16.72539520263672,14.779822956431996
8.0,12.629169464111328,12.952040672302246,15.484729766845703,13.91747760772705,14.155518531799316,15.588582992553711,15.993602752685547,13.201556205749512,13.866796493530273,14.626967430114746,20.265735626220703,14.789288867603648
9.0,12.314803123474121,12.239349365234375,15.232675552368164,14.355765342712402,13.738139152526855,14.844170570373535,15.519878387451172,12.522621154785156,13.463424682617188,14.376260757446289,19.630020141601562,14.385191657326438
10.0,12.1493558883667,12.135066032409668,14.86365795135498,14.309751510620117,13.47753620147705,14.375787734985352,15.253630638122559,12.25122356414795,13.1015043258667,14.334782600402832,19.32994270324707,14.143839922818271
11.0,11.965243339538574,12.36136245727539,14.78430461883545,14.0746488571167,13.555444717407227,14.584593772888184,15.316603660583496,12.4664888381958,13.14847183227539,14.383923530578613,19.71661376953125,14.214336308566006
12.0,11.845659255981445,12.157698631286621,14.720193862915039,14.254958152770996,13.465985298156738,14.298890113830566,15.233760833740234,12.297149658203125,13.014605522155762,14.381227493286133,19.515161514282227,14.107753666964443
13.0,11.714752197265625,12.302639961242676,14.692903518676758,14.074186325073242,13.441817283630371,14.512969970703125,15.240854263305664,12.300309181213379,13.008877754211426,14.26977252960205,19.731101989746094,14.117289543151855
14.0,11.451935768127441,12.421825408935547,14.429046630859375,13.694197654724121,13.381338119506836,14.497519493103027,15.145116806030273,12.296795845031738,12.839193344116211,14.181497573852539,20.054107666015625,14.035688573663885
15.0,12.084595680236816,12.704304695129395,14.893752098083496,14.45506477355957,13.921650886535645,14.759757041931152,15.56533432006836,12.86716365814209,13.38333797454834,14.96754264831543,19.435440063476562,14.457994894547896
16.0,11.822710990905762,12.321918487548828,14.651931762695312,14.526567459106445,13.57055950164795,14.381328582763672,15.33051586151123,12.504074096679688,13.145956039428711,14.736531257629395,19.428855895996094,14.220086357810281
17.0,11.687860488891602,12.327326774597168,14.632654190063477,14.125126838684082,13.442208290100098,14.530494689941406,15.20724105834961,12.54240894317627,13.087474822998047,14.549149513244629,19.63746452331543,14.160855466669256
18.0,11.623523712158203,12.52301025390625,14.633971214294434,13.768254280090332,13.274673461914062,14.580862045288086,15.13734245300293,12.594571113586426,13.016622543334961,14.443403244018555,19.48822593688965,14.098587296225809
19.0,11.5712251663208,12.47325325012207,14.516368865966797,14.310173034667969,13.311297416687012,14.387504577636719,15.229167938232422,12.521753311157227,12.911051750183105,14.602609634399414,19.427064895629883,14.114679076454856
