Round,0,1,2,3,4,5,6,7,8,9,test,A
0.0,44.624474786825225,43.7640393210603,44.08423250623813,44.180837601077826,44.987680062677995,44.15594313853035,45.324559278917704,44.44349357435518,44.85220412469994,44.220453257832226,41.79089618453103,44.220801257885995
1.0,22.112392130707782,22.761652718391435,26.29984223641192,20.43532949698611,22.315057517115825,27.78268240120543,26.473955131278906,22.96532313934492,23.97692015658626,23.120521895382115,29.636252024877088,24.3527208043898
2.0,20.11928083768854,17.494479807369775,24.905335910923537,21.64214725580151,20.592823800776905,22.422842014208204,23.644964592613317,19.354817960174266,21.398115898687713,20.557428818766997,23.433192312468332,21.41503901904355
3.0,19.236352615890848,16.832616406775752,24.168963443749764,20.620770014862668,19.954643699544757,21.75361199915466,22.734821999471563,18.967906952023593,20.702278874219076,20.000190733953794,23.010437297221777,20.725690366988022
4.0,18.761480860062726,15.967711771379992,23.435394436670865,19.992179104384718,18.94120525710539,20.97072195226523,21.61594655590665,18.34751362183758,19.975920868655372,19.656169266527368,22.675522514135423,20.030887837175573
5.0,18.531890600753105,15.412649315128558,22.437638731291166,19.66825230989732,17.96403046036327,20.119975534958876,20.55573493031545,17.700900228420146,19.053899507076792,19.49222585792819,22.410943001376303,19.39528549795538
6.0,18.450259587805856,15.08171508426056,21.81957123696164,20.07359278249077,17.597566505736754,19.427007756499552,20.23366613140554,17.22355415908963,18.44929773498337,19.481593125386976,22.057627715366117,19.081404710907886
7.0,18.39369962881737,14.899789877824462,21.700387077570902,20.249097262382,17.38429066748824,19.278885212559945,20.043915408968253,17.033340073874697,18.309127549157772,19.506487427464037,21.930617771727484,18.97542163253047
8.0,18.113841864437365,15.04250062161115,21.381692117615483,19.92948843491332,17.187509765622227,19.278723750630512,19.951831031848617,16.935410712065064,18.021993128622732,19.365593577259887,21.965520021711725,18.83400954784892
9.0,18.047619877755437,14.785623754167583,21.269675805867816,20.180345336257876,17.062283580930593,19.122481036880632,19.940729435747517,16.676458813682633,17.899678727149162,19.325565399939627,21.769087210055098,18.734504452584904
10.0,17.908309525156977,14.707956166965381,21.107376241188987,20.094905742909226,16.95954659485698,19.067005262947447,19.840476323224244,16.589760510887242,17.827359824179833,19.250977330354637,21.731553948388477,18.644111588278125
11.0,17.89302402719816,14.619488060542468,20.968144551616863,20.147930847400698,16.872902068664715,18.952832753569204,19.750630429020486,16.48963834071026,17.822022365634375,19.217018309941047,21.73422405703337,18.58798689193924
12.0,17.732428651453986,14.649048945572051,20.809496780316433,20.06098946562317,16.851385930055482,19.04329286583148,19.694365742317967,16.394640609743668,17.761964875548944,19.210120172477204,22.01311726091897,18.565531936350848
13.0,17.685367307378012,14.614426140496096,20.661228982242093,19.98677923013462,16.73770191164854,18.960585016810203,19.632457312495376,16.248051453186335,17.680336515926562,19.054484899240666,22.012338819460652,18.479432508092653
14.0,17.63882228942206,14.629218120841196,20.622720488378754,19.986050891174308,16.6904888548206,18.99482576286813,19.5810825217762,16.17750317220549,17.632892978604556,18.977923768847106,22.173953280855503,18.464134739072172
15.0,17.65234850423149,14.555612662658744,20.464510832494415,19.972413683618946,16.610120955732455,18.846060894268298,19.373392542945258,16.048318383843796,17.57936106765189,18.79967540704244,22.13448979370734,18.366936793472277
16.0,17.70876454744585,14.397427519854133,20.509590696717353,20.219072247963293,16.5275233201956,18.712605940748873,19.319923924519443,15.827756736214429,17.518915035846344,18.74986409455954,22.095719612524785,18.32610578878088
17.0,17.69270037977571,14.462882052875582,20.465018594762732,20.05294353539135,16.305798319551563,18.692089116967118,19.027331319925114,15.722088984331885,17.42188288256548,18.621392431918608,22.169177073346116,18.23939133558284
18.0,17.685927250361463,14.327761846202092,20.474183737258763,20.186622435211813,16.27225508036273,18.645091440227723,18.94942126837255,15.546551602321102,17.395191343723862,18.58923264453108,22.357250483230757,18.22086264834581
19.0,17.68421285433264,14.142768419215889,20.46876416387869,20.331234599546505,16.263953219202467,18.440971435643903,18.876934432382104,15.303809116894007,17.383752608005214,18.51514701387252,22.464217831112478,18.170524154007854
