Round,0,1,2,3,4,5,6,7,8,9,test,A
0.0,40.90234375,39.057159423828125,39.73277282714844,40.47783660888672,40.939849853515625,39.59510803222656,41.179595947265625,39.97509765625,40.89299774169922,40.234615325927734,36.199344635009766,39.92606561834162
1.0,15.597261428833008,16.378433227539062,19.387401580810547,15.374075889587402,15.927396774291992,19.781286239624023,19.053237915039062,16.393552780151367,17.364532470703125,16.44920539855957,23.712875366210938,17.765387188304555
2.0,14.23593521118164,12.435270309448242,18.525548934936523,16.063396453857422,15.101046562194824,16.0457763671875,16.810489654541016,14.080881118774414,15.870809555053711,14.931697845458984,18.754472732543945,15.714120431379838
3.0,13.654091835021973,12.00055980682373,18.154621124267578,15.223347663879395,14.60088062286377,15.425237655639648,16.229703903198242,13.833897590637207,15.260830879211426,14.542492866516113,18.268783569335938,15.199495228854092
4.0,13.182732582092285,11.322569847106934,17.516252517700195,14.656583786010742,13.694915771484375,14.590900421142578,15.27966594696045,13.309864044189453,14.478596687316895,14.110917091369629,17.660995483398438,14.527635834433816
5.0,13.125083923339844,11.073471069335938,16.71244239807129,14.36944580078125,13.0548677444458,13.996048927307129,14.56308364868164,12.983059883117676,13.794949531555176,14.010375022888184,17.368684768676758,14.09559206529097
6.0,13.199045181274414,10.962101936340332,16.15603256225586,14.813572883605957,12.879283905029297,13.47111701965332,14.330938339233398,12.721696853637695,13.419038772583008,14.173314094543457,16.985227584838867,13.919215375726873
7.0,13.027669906616211,10.706475257873535,15.891097068786621,14.772019386291504,12.555225372314453,13.222943305969238,14.048840522766113,12.422900199890137,13.177925109863281,14.034008979797363,16.861980438232422,13.701916868036443
8.0,12.845423698425293,10.773012161254883,15.653480529785156,14.565889358520508,12.470063209533691,13.188154220581055,13.911345481872559,12.314040184020996,13.015542030334473,13.93361759185791,16.947708129882812,13.601661508733576
9.0,12.628145217895508,10.46268081665039,15.391786575317383,14.598118782043457,12.213425636291504,12.890456199645996,13.6962251663208,11.964373588562012,12.790410041809082,13.763463020324707,16.78543472290039,13.380410887978293
10.0,12.539457321166992,10.428130149841309,15.291092872619629,14.526169776916504,12.158021926879883,12.86931324005127,13.619369506835938,11.900677680969238,12.777618408203125,13.712138175964355,16.807926177978516,13.329992294311523
11.0,12.534621238708496,10.432231903076172,15.186734199523926,14.556394577026367,12.100265502929688,12.803844451904297,13.554832458496094,11.850918769836426,12.790879249572754,13.677157402038574,16.825695037841797,13.301234071904963
12.0,12.229691505432129,10.305238723754883,14.861915588378906,14.263538360595703,11.906848907470703,12.705209732055664,13.316312789916992,11.59150218963623,12.588841438293457,13.457196235656738,17.109888076782227,13.121471231633967
13.0,12.16690731048584,10.193099021911621,14.707657814025879,14.201221466064453,11.797406196594238,12.58243465423584,13.192580223083496,11.379925727844238,12.51604175567627,13.318238258361816,17.147586822509766,13.018463568253951
14.0,12.075668334960938,10.153097152709961,14.632558822631836,14.138561248779297,11.701416015625,12.606966018676758,13.105620384216309,11.304634094238281,12.447089195251465,13.208000183105469,17.258695602416992,12.9665733684193
15.0,12.139497756958008,10.168758392333984,14.58265495300293,14.164725303649902,11.699159622192383,12.593998908996582,13.048129081726074,11.277653694152832,12.479280471801758,13.17272663116455,17.196619033813477,12.95665489543568
16.0,12.075644493103027,10.027764320373535,14.518386840820312,14.2577486038208,11.539225578308105,12.445199966430664,12.903318405151367,11.048375129699707,12.321601867675781,13.084826469421387,17.107118606567383,12.84811002557928
17.0,12.059561729431152,10.05538558959961,14.50007438659668,14.133399963378906,11.407405853271484,12.487786293029785,12.772284507751465,11.021899223327637,12.276522636413574,13.024739265441895,17.206504821777344,12.81323311545632
18.0,12.0123872756958,9.996338844299316,14.539854049682617,14.241868019104004,11.384699821472168,12.510539054870605,12.7207670211792,10.930438041687012,12.26333236694336,13.016334533691406,17.287649154663086,12.809473471208053
19.0,11.93468189239502,9.840211868286133,14.462549209594727,14.262104034423828,11.28555679321289,12.330632209777832,12.628667831420898,10.716854095458984,12.208914756774902,12.93906307220459,17.396602630615234,12.72780349037864
