Round,0,1,2,3,4,5,6,7,8,9,test,A
0.0,-0.18320047855377197,-0.06331658363342285,-0.0792853832244873,-0.20421278476715088,-0.1067279577255249,-0.07078039646148682,-0.090553879737854,-0.08758926391601562,-0.0938037633895874,-0.17399263381958008,2.980232238769531e-07,-0.10486025701869618
1.0,0.7552415132522583,0.768765926361084,0.6569881439208984,0.7628565430641174,0.7651718258857727,0.6429815292358398,0.6722425222396851,0.7605983018875122,0.728381872177124,0.731455385684967,0.5585616827011108,0.7093859314918518
2.0,0.7876377701759338,0.8334990739822388,0.6839931011199951,0.7514951229095459,0.7828042507171631,0.7254794836044312,0.7185295820236206,0.8023837804794312,0.7670639157295227,0.7673927545547485,0.6579831838607788,0.7525692744688555
3.0,0.8036351203918457,0.8478056788444519,0.7060640454292297,0.7699304819107056,0.792551577091217,0.7424699068069458,0.7387990951538086,0.8122543096542358,0.7820210456848145,0.7792278528213501,0.6725795269012451,0.76793987642635
4.0,0.8117285370826721,0.8598799109458923,0.723079264163971,0.7802165746688843,0.8043508529663086,0.7580626010894775,0.7567221522331238,0.8228492736816406,0.7964069247245789,0.7863212823867798,0.6823197603225708,0.7801761031150818
5.0,0.8127011060714722,0.8753957152366638,0.7378486394882202,0.7779871225357056,0.8187191486358643,0.7793769240379333,0.7759228348731995,0.83674156665802,0.8107988834381104,0.7895516753196716,0.7014569044113159,0.7924091382460161
6.0,0.8155227303504944,0.8786468505859375,0.7474544644355774,0.7812824249267578,0.8322054147720337,0.7878465056419373,0.7862958908081055,0.847040593624115,0.8212630152702332,0.7953412532806396,0.702269434928894,0.799560779874975
7.0,0.815484881401062,0.8791850209236145,0.7572920322418213,0.7846059799194336,0.8395822048187256,0.7953599095344543,0.7954951524734497,0.8503342866897583,0.8278687596321106,0.798970639705658,0.7074059844017029,0.8046895319765265
8.0,0.8150456547737122,0.8805769681930542,0.761744499206543,0.7796220779418945,0.845910906791687,0.8029477000236511,0.8016835451126099,0.8542169332504272,0.8337711691856384,0.8000373244285583,0.7097374200820923,0.807754018089988
9.0,0.8133925199508667,0.8824751377105713,0.7646839618682861,0.7748975157737732,0.8497056365013123,0.8114768266677856,0.8071759343147278,0.8575798869132996,0.8378753662109375,0.8006937503814697,0.7114169597625732,0.8101248632777821
10.0,0.8125400543212891,0.8836919665336609,0.7687913179397583,0.7699800729751587,0.8507624864578247,0.816463828086853,0.8094651103019714,0.8592004179954529,0.8403604626655579,0.7996962070465088,0.7110992670059204,0.8110955628481779
11.0,0.8145838975906372,0.8792846202850342,0.7710395455360413,0.7773951292037964,0.8553000688552856,0.816148579120636,0.8150099515914917,0.8589957356452942,0.8432634472846985,0.8022234439849854,0.7099888324737549,0.8130212046883323
12.0,0.8139901161193848,0.8826848864555359,0.7712963223457336,0.765719473361969,0.855895459651947,0.8229047060012817,0.8147685527801514,0.8643831014633179,0.844703197479248,0.8020588159561157,0.7117534875869751,0.8136507381092418
13.0,0.8169007897377014,0.8791565299034119,0.7729342579841614,0.7731980085372925,0.8590548038482666,0.8177435994148254,0.8192591667175293,0.8640016317367554,0.8455238342285156,0.8064208626747131,0.7046948671340942,0.8144443956288424
14.0,0.8158383369445801,0.8776654005050659,0.7740887999534607,0.7734062075614929,0.8617866039276123,0.8191447854042053,0.8242998719215393,0.8672398328781128,0.8464223742485046,0.8092691898345947,0.7004087567329407,0.8154154690829191
15.0,0.8191145658493042,0.8776743412017822,0.7763031125068665,0.7742538452148438,0.8625099658966064,0.8208065032958984,0.8252598643302917,0.8710471391677856,0.848042368888855,0.812487006187439,0.6971423029899597,0.8167855468663302
16.0,0.819999098777771,0.8789231777191162,0.7755457162857056,0.7736378312110901,0.8645874261856079,0.8223530650138855,0.8285680413246155,0.8728860020637512,0.8484358787536621,0.8136624097824097,0.6992745399475098,0.817988471551375
17.0,0.8219245076179504,0.879907488822937,0.7773577570915222,0.7744881510734558,0.8650729656219482,0.8209729194641113,0.8315434455871582,0.8761186003684998,0.8480417132377625,0.8175495862960815,0.695802628993988,0.8189799785614014
18.0,0.82752525806427,0.8817186951637268,0.7786775827407837,0.7737891674041748,0.8636507987976074,0.8200258612632751,0.8282781839370728,0.879122793674469,0.8479467630386353,0.8168498277664185,0.6917612552642822,0.8190314715558832
19.0,0.8285104036331177,0.880611777305603,0.7773550152778625,0.7801527380943298,0.8651678562164307,0.8179795742034912,0.8308433890342712,0.8778484463691711,0.8487690687179565,0.8179061412811279,0.6920703649520874,0.8197467977350409
