Round,0,1,2,3,4,5,6,7,8,9,test,A
0.0,42.5413818359375,40.15349197387695,40.81021499633789,42.27143096923828,42.315956115722656,40.76688003540039,42.54573059082031,41.265785217285156,42.08423614501953,42.08603286743164,36.88911819458008,41.24820535833185
1.0,15.215243339538574,15.291139602661133,19.249835968017578,15.561373710632324,15.749175071716309,18.993053436279297,18.762842178344727,15.765213966369629,17.098041534423828,16.18160629272461,22.296289443969727,17.287619504061613
2.0,14.03602409362793,12.740462303161621,18.408626556396484,15.623970031738281,15.143439292907715,16.529254913330078,17.072742462158203,14.230155944824219,15.892440795898438,14.98866081237793,19.519655227661133,15.835039312189275
3.0,13.58344554901123,12.30705451965332,17.916690826416016,14.97802734375,14.788572311401367,15.953679084777832,16.539669036865234,13.926851272583008,15.327094078063965,14.673868179321289,19.006290435791016,15.363749330694025
4.0,13.249881744384766,11.770440101623535,17.309110641479492,14.534185409545898,14.270267486572266,15.256214141845703,15.830889701843262,13.454109191894531,14.704147338867188,14.372852325439453,18.422672271728516,14.834070032293146
5.0,13.20919418334961,11.058382987976074,16.705528259277344,14.53985595703125,13.690656661987305,14.431253433227539,15.090346336364746,12.873114585876465,14.0789155960083,14.256843566894531,17.6962833404541,14.330034082586115
6.0,12.90239143371582,10.741686820983887,16.12479019165039,14.229788780212402,13.00178337097168,13.909699440002441,14.4869384765625,12.372694969177246,13.509787559509277,13.921536445617676,17.629047393798828,13.89364953474565
7.0,13.000957489013672,10.772660255432129,15.861462593078613,14.200541496276855,12.774820327758789,13.645760536193848,14.229275703430176,12.273077964782715,13.300832748413086,13.869588851928711,17.4348201751709,13.760345285589045
8.0,12.781105995178223,10.610763549804688,15.444400787353516,14.213955879211426,12.331853866577148,13.15229606628418,13.721891403198242,11.926608085632324,12.834551811218262,13.660527229309082,17.26964569091797,13.449781851335006
9.0,12.852007865905762,10.59166145324707,15.263559341430664,14.322418212890625,12.108463287353516,12.802867889404297,13.504809379577637,11.737887382507324,12.642221450805664,13.613046646118164,17.216449737548828,13.332308422435414
10.0,12.913117408752441,10.606664657592773,15.10705280303955,14.486557960510254,12.041765213012695,12.633565902709961,13.410571098327637,11.68578815460205,12.56660270690918,13.647123336791992,17.173242568969727,13.297459255565297
11.0,12.894797325134277,10.776800155639648,15.070749282836914,14.336222648620605,11.882316589355469,12.632284164428711,13.246474266052246,11.708290100097656,12.505818367004395,13.59222412109375,17.239578247070312,13.262323206121271
12.0,12.838754653930664,10.61319637298584,14.931801795959473,14.628995895385742,11.722420692443848,12.33823299407959,13.138209342956543,11.451261520385742,12.376762390136719,13.51845645904541,17.184720993041992,13.158437555486506
13.0,12.642033576965332,10.676979064941406,14.76688003540039,14.285609245300293,11.491800308227539,12.419222831726074,12.857783317565918,11.340299606323242,12.25660514831543,13.245841979980469,17.512147903442383,13.045018456198953
14.0,12.687236785888672,10.750699996948242,14.671238899230957,14.272819519042969,11.361928939819336,12.424348831176758,12.712324142456055,11.209014892578125,12.197052001953125,13.163359642028809,17.766292572021484,13.019665111194957
15.0,12.54530143737793,10.712789535522461,14.596240043640137,14.211053848266602,11.263320922851562,12.39169979095459,12.655098915100098,11.027420997619629,12.105791091918945,13.031164169311523,17.87162971496582,12.946500951593572
16.0,12.507402420043945,10.64610767364502,14.668127059936523,14.229458808898926,11.1876220703125,12.38620662689209,12.608945846557617,10.967004776000977,12.114672660827637,13.009909629821777,17.84893035888672,12.924944357438521
17.0,12.347512245178223,10.502354621887207,14.561075210571289,14.147039413452148,11.121838569641113,12.454368591308594,12.496585845947266,10.746821403503418,12.037086486816406,12.81948471069336,17.99517250061035,12.839030872691762
18.0,12.000004768371582,10.313529968261719,14.454829216003418,14.062372207641602,11.093974113464355,12.415860176086426,12.494024276733398,10.545292854309082,11.941895484924316,12.727065086364746,18.13018226623535,12.743548219854182
19.0,11.891139030456543,10.323681831359863,14.531600952148438,13.908045768737793,11.08107852935791,12.522403717041016,12.45009994506836,10.599109649658203,11.891422271728516,12.709111213684082,18.209766387939453,12.737950845198197
